cluster_id,size,likes_total,type,avg_top_sim,max_top_sim,best_comment,best_comment_likes,matched_line,matched_character,matched_scene
59,288,32394,template_modification,0.6034471988677979,0.6448128819465637,以下是你看過甄嬛傳的次數 ⬇️,14070,甄嬛，这几年你也不好过吧？,皇后,ep76-1184
5,73,16567,template_modification,0.5560193061828613,0.6209577918052673,也沒什麼好離譜的 畢竟小允子可是有些功夫在身上的,679,小允子，你过来。（耳语）,甄嬛,ep76-1177
50,71,16434,template_modification,0.5991567969322205,0.6151029467582703,從華妃 安陵容到皇后 發現每個甄嬛的敵人 死掉後 甄嬛的反應都不是很快樂 反而是一種感慨的感覺 也許她內心完全不希望她們真的死 而是被她們苦苦相逼不得不做出反擊,2393,刚入宫的甄嬛已经死了，皇上你忘了？是您亲手杀了她，臣妾是钮祜禄甄嬛。,甄嬛,ep76-1179
1,166,15929,template_modification,0.7024195790290833,0.7436144948005676,"2024年了,我還在迎接熹妃娘娘回宮❤",2756,熹妃回宫——,太监,ep56-891
57,93,15770,template_modification,0.6277506947517395,0.6902391314506531,寧貴人就是一種「誰管你家怎樣我就是要跟你槓上」,443,你见过宁贵人了？,眉庄,ep56-896
73,78,10469,template_modification,0.6024502515792847,0.6330877542495728,"甄嬛要的,始終都沒有得到...... 「願得一心人,白首不相離」",476,臣妾要这天下来做什么？臣妾要的始终都没有得到。,甄嬛,ep76-1179
84,42,9901,template_modification,0.5121582746505737,0.6157708764076233,出宮後 就直接跳到56集來了,162,本宫回宫，宫中可有异动？,甄嬛,ep56-892
78,105,9795,template_modification,0.5004314184188843,0.5336059331893921,2022年居然還是沒有別的劇可以超越,6445,甄嬛，这几年你也不好过吧？,皇后,ep76-1184
42,60,9699,template_modification,0.6164926290512085,0.6692848801612854,所以皇上拉那個地板真的不會打開喔QQ,864,宫里怎么了？,允禧,ep63-1001
23,84,9666,template_modification,0.5911945104598999,0.6218520998954773,"甄嬛有眉莊,如懿有海蘭~~ 這2個小天使我都超愛的!!",492,甄嬛，这几年你也不好过吧？,皇后,ep76-1184
8,24,9589,template_modification,0.5188478231430054,0.5462629199028015,"那年杏花微雨,你说你是果子狸,其实你是胖维尼",5098,嬛嬛，委屈你了。,皇帝,ep63-996
51,92,8745,template_modification,0.590467095375061,0.6190322637557983,我有看如懿 還不錯看 只是很虐 不像甄嬛主角最後可以得個善終 其實我很推如懿傳的說,259,甄嬛，这几年你也不好过吧？,皇后,ep76-1184
31,61,8676,template_modification,0.5907967686653137,0.6425630450248718,"31:30 皇帝第一次見到玉嬈就目不轉睛,直到寧貴人說話才回神,真的有夠色!",714,你见过宁贵人了？,眉庄,ep56-896
3,30,8581,template_modification,0.5577786564826965,0.5894622802734375,"這段畫面我覺得超感動~當時甘露寺幸好還有莫言,不然她們會更慘吧,這個情誼真的是深植在心中",75,要找甘露寺的人得找莫言，二小姐，我们务必要在宫门下钥之前赶回来。,浣碧,ep63-1000
63,31,8337,template_modification,0.6011365056037903,0.6508195996284485,"有個細節: 寧嬪餵皇帝吃金丹之後,給他喝的不是水,而是參湯。人參有加速藥效的功用,讓金丹的藥效更快發作,而且生氣時不能用人參,容易高血壓昏倒。正好甄嬛後面進來,說了一堆話,才能順利氣死皇上。",2104,好，皇上也该到了服用金丹的时候了，（喂丹丸）来，让臣妾伺候您服用。来，让臣妾扶着您。,澜依,ep76-1179
40,33,7952,template_modification,0.6757518649101257,0.7386147379875183,"那年杏花微雨,你說你是果郡王,也許從一開始,便都是錯的",1223,四郎，那年杏花微雨，你说你是果郡王，也许从一开始便都是错的。（出，宣）皇上驾崩——皇上驾崩——皇上驾崩……,甄嬛,ep76-1179
35,64,7935,template_modification,0.5594227313995361,0.6274734735488892,孫儷真的演的很棒 從青澀歲月的甄嬛演到最後歷練豐富的甄嬛 演得真的很棒!,591,甄嬛，这几年你也不好过吧？,皇后,ep76-1184
