場景,cluster 數,總讚數,最高讚,名稱列表
ep56-894,7,65868,7058,欣太嬪職場典範  /  嬪妃互害填字  /  敬妃就是敬業  /  純元皇后是塊磚  /  寧貴人風紀股長  /  寧嬪角色品格分析與毒殺細節考據（參湯加速藥效、情感為崇拜非愛情）  /  孫儷演技稱讚（哭戲層次、配音成功、角色各時期蛻變）
ep76-1178,2,23134,10621,小允子幹掉血滴子  /  小允子神隊友
ep76-1182,2,13981,5098,果子狸胖維尼  /  風紀股長梗跨集延伸（與 Cluster 57 高度重疊）
ep76-1179,2,6306,2482,四郎你還是叫了  /  野額娘 / 弘曆吐槽甄嬛只比自己大 7 歲
ep56-899,1,8581,8144,直接跳過甘露寺舉手
ep63-1002,1,7309,4336,私通是我
ep56-897,1,5952,3662,熹貴妃口紅色號討論與美妝聯想
ep63-1000,1,4830,1529,浣碧角色評價（與寧貴人愛法對比、桀驁之語的回旋諷刺）
ep76-1187,1,4828,1242,四阿哥繼位後的心理分析（多疑性格成因、與皇帝相似性、缺愛原因）
ep56-898,1,3462,1541,朧月與敬妃的母女關係情感討論（認母方式、親情層次）
ep56-896,1,3146,980,藕粉桂花糖糕
