cluster_label,scene_rank,similarity,episode,episode_num,scene_number,is_continuation,scene_text,size,likes_total
0,1,0.5821149945259094,ep63,63,996,True,"（景仁宫）
静白：贫尼甘露寺静白，见过皇上、皇后娘娘。熹贵妃安好，许久不见，不知熹贵妃还记得故人吗？
甄嬛：静白师父？能劳动大驾进宫，想必是挨的板子已经好了。
静白：熹贵妃赏的一顿板子，倒是教会了贫尼说实话。
甄嬛：但愿如此。
文鸳：静白师父有什么话赶紧回了，也不耽误师父清修。
静白：是。熹贵妃娘娘初来甘露寺时，素不理睬众人，咱们这些人也只得敬而远之了，那时宫中常有一位年长的姑姑前来探望娘娘，除此",57,8599
0,2,0.5776269435882568,ep56,56,899,False,"（寿康宫，眉嬛入）
眉庄：太后怎么先喝上药了，应该臣妾来喂您才是啊。
太后：你来得正好，除了你孙姑姑，也就你伺候得最叫哀家舒坦。
甄嬛：臣妾拜见太后，愿太后凤体康健、福泽万年。
太后：回来了？永寿宫住得还习惯？
甄嬛：永寿宫太过奢华，臣妾很是不安。
太后：虽然奢华，皇帝要宠着你，也不算什么。这药喝得哀家舌头发苦，去倒掉也罢。
眉庄：臣妾就说太后越活越年轻，太后还不信，非说臣妾哄您，如今这怕苦不肯吃",57,8599
0,3,0.5455299615859985,ep63,63,1000,False,"（永寿宫）
玉娆：碧姐姐，十七爷的病可好些啊？
浣碧：好多了。小主呢？怎么这么久都没有见到她？
玉娆：她刚刚被江公公带走了，现在还没回来呢。
阿绿（急入）：浣碧姑娘在就好了，宁贵人让我赶紧来告诉一声，祺贵人她们请了甘露寺的姑子来指证娘娘在宫外有奸情，（浣碧：什么？！）让姑娘看看到底有什么办法，最好也有甘露寺的人来指证那姑子说的是假话。
玉娆：姐姐怎么会有奸情呢？皇上真是糊涂。
浣碧：要找甘露寺的人",57,8599
1,1,0.40194156765937805,ep76,76,1182,False,（叶澜依割腕自尽）,21,109
1,2,0.3828178644180298,ep76,76,1179,False,"（勤政殿，皇帝躺着）
皇帝：渴了，喝点水。
澜依：好，皇上也该到了服用金丹的时候了，（喂丹丸）来，让臣妾伺候您服用。来，让臣妾扶着您。
皇帝：朕记得你刚入宫的时候性子孤傲冷淡，现在是是越来越柔情似水了。
澜依：皇上难道没有听说过“温柔刀，刀刀割人性命”吗？
甄嬛（入）：皇上万福金安。
（澜依使个眼色，出）
甄嬛：皇上气色倒好多了。
皇帝：夏刈呢？
甄嬛：药熬好了，皇上怎么先喝参汤了？
皇帝：夏刈。",21,109
1,3,0.3819851875305176,ep63,63,996,True,"（景仁宫）
甄嬛：斐雯，你在宫里这些日子，本宫倒没瞧出你有这份心胸。
斐雯：奴婢伺候娘娘，有什么心胸都牵挂在娘娘身上，但是奴婢在宫里当差，只能对皇上一人尽忠，若有得罪还请娘娘恕罪。
甄嬛：你对皇上尽忠也算得罪本宫的话，岂非要置本宫于不忠不义之地了？容臣妾问她几句话。斐雯，无论今日之事结局如何，你都不能再回永寿宫再伺候本宫了。
斐雯：只要是在宫里伺候，无论服侍哪位小主，奴婢都会赴汤蹈火在所不辞。
甄",21,109
2,1,0.578464925289154,ep56,56,891,False,"（？皇帝皇后和众嫔妃迎候甄嬛）
太监：熹妃回宫——
甄嬛：臣妾归来，恭祝皇上、皇后圣体康健、福泽万年。
皇帝：一路可好吗？
甄嬛：都好。
皇后：皇上一告诉本宫你要回来，本宫开心得不得了啊。
甄嬛：多谢皇后娘娘关怀备至。
皇帝：果郡王既为册封使，便代朕将册封熹妃之旨晓谕六宫，此刻诸妃皆在，劳十七弟宣读吧。
允礼：是。奉天承运，皇帝诏曰：惟赞宫廷而衍庆，端赖柔嘉，钮祜禄甄嬛，毓质名门，温恭懋著，仰承皇",37,397
2,2,0.5606525540351868,ep56,56,897,False,"（街）
胧月：额娘，我们这是要去哪儿啊？
敬妃：胧月，额娘带你去给熹娘娘请安。
胧月：就是那天穿得特漂亮的那个吗？
敬妃：胧月真聪明，就是她。
胧月：她也是胧月的额娘吗？为什么胧月以前都没有见过她？
敬妃：胧月，以前熹娘娘不在宫里啊。胧月，以后你要多去熹娘娘那里玩，熹娘娘可喜欢胧月了。
胧月：熹娘娘生得漂亮，胧月也喜欢，可是我还是最喜欢额娘。",37,397
2,3,0.5549651980400085,ep56,56,894,False,"（景仁宫内室）
甄嬛：给皇后娘娘请安，恭祝娘娘凤体康健、千岁金安。
皇后：起来坐吧。
甄嬛：谢娘娘。
皇后：剪秋，看茶。今儿个也不是初一十五的大日子，熹妃这样早就来了。
甄嬛：本该昨日一回宫就来的，因而今日特来向娘娘请罪。
皇后：你有孕在身，又刚从甘露寺回来，是应该好好地歇息一下，反正日后都要见的，请安也不急在一时。
甄嬛：皇后关怀，臣妾也不敢太放肆。臣妾在外，不敢忘了皇后恩德，因此日日祝祷，奉了",37,397
3,1,0.6377706527709961,ep56,56,891,False,"（？皇帝皇后和众嫔妃迎候甄嬛）
太监：熹妃回宫——
甄嬛：臣妾归来，恭祝皇上、皇后圣体康健、福泽万年。
皇帝：一路可好吗？
甄嬛：都好。
皇后：皇上一告诉本宫你要回来，本宫开心得不得了啊。
甄嬛：多谢皇后娘娘关怀备至。
皇帝：果郡王既为册封使，便代朕将册封熹妃之旨晓谕六宫，此刻诸妃皆在，劳十七弟宣读吧。
允礼：是。奉天承运，皇帝诏曰：惟赞宫廷而衍庆，端赖柔嘉，钮祜禄甄嬛，毓质名门，温恭懋著，仰承皇",286,15273
